"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4108","Iowa City",7750,2007,"BMW","X5","Excellent","8 cylinders","Gas",115000,"Automatic","4WD",NA,"Suv",NA,"IA",42.4845,-92.325,"Non-JDM"
"4109","El Paso",19995,2015,"Ford","F-150",NA,NA,"Gas",116084,"Automatic","4WD",NA,"Pickup","White","TX",31.7746,-106.386,"Non-JDM"
"4110","Lewiston / Clarkston",22600,2017,"Subaru","Outback Limited","Excellent","4 cylinders","Gas",45525,"Automatic","4WD","Mid-Size","Wagon","Brown","ID",45.9264,-116.123,"JDM"
"4111","Hartford",5495,2009,"Nissan","Altima",NA,"4 cylinders","Gas",126847,"Automatic","FWD",NA,"Sedan","Grey","CT",41.7447,-72.7177,"JDM"
"4112","New Orleans",750,1996,"Chevrolet","S10","Fair","6 cylinders","Gas",346000,"Automatic","RWD","Mid-Size","Truck","Green","LA",30.2784,-89.7712,"Non-JDM"
"4113","Rockford",15990,2014,"Hyundai","Santa Fe Limited Sport","Good","6 cylinders","Gas",87811,"Automatic","FWD",NA,"Other","White","IL",33.7792,-84.4118,"Non-JDM"
"4114","Tucson",7995,2009,"Toyota","Rav4",NA,"6 cylinders","Gas",152351,"Automatic","4WD",NA,"Suv","Silver","AZ",32.2361,-110.879,"JDM"
"4115","Killeen / Temple / Ft Hood",19995,2013,"Chevrolet","Silverado 2500hd","Excellent",NA,"Gas",244762,"Automatic","4WD","Full-Size","Truck","White","TX",31.1253,-97.7211,"Non-JDM"
"4116","Cincinnati",3495,2000,"Buick","Century",NA,NA,"Gas",96417,"Automatic",NA,NA,"Sedan",NA,"OH",39.3895,-84.5479,"Non-JDM"
"4117","Skagit / Island / Sji",20650,2019,"Hyundai","Santa Fe Se 2.4 Awd","Good","4 cylinders","Gas",30432,"Automatic",NA,NA,"Suv","Silver","WA",48.461,-122.342,"Non-JDM"
"4118","Bozeman",28998,2018,"KIA","Sorento Sx V6",NA,"6 cylinders","Gas",39440,"Automatic","4WD",NA,"Suv",NA,"MT",47.6961,-116.781,"Non-JDM"
"4119","Montgomery",19500,2019,"Mitsubishi","Eclipse Cross","Excellent","4 cylinders","Gas",25000,"Automatic","4WD","Mid-Size","Suv","White","AL",32.2243,-86.3932,"JDM"
"4120","Cumberland Valley",5495,2007,"Lincoln","Town Car","Excellent","8 cylinders","Gas",120773,"Automatic","FWD","Full-Size","Sedan",NA,"MD",40.0235,-77.516,"Non-JDM"
"4121","Okaloosa / Walton",18995,2013,"Toyota","Tacoma","Good","6 cylinders","Gas",166509,"Automatic","RWD","Full-Size","Truck","Black","FL",30.4129,-87.3092,"JDM"
